problem_code,panel,grade,score,reasons,text,image_path
112C65,D,A,1.0,,類円形、嚢胞状の摘出物,/Users/saitouryuuichi/Desktop/国試データベース/国家試験過去問/国試画像まとめ/112回/112C65-ab.png
112C65,E,A,0.8,low_medical_signal,脂肪抑制T2強調像,/Users/saitouryuuichi/Desktop/国試データベース/国家試験過去問/国試画像まとめ/112回/112C65-ab.png
112C74,A,A,1.0,,下顎右側臼歯部の腫脹／粘膜に異常は〜、ない骨膨降／画面のサイズが小さいた、め不明ではあるが、こ、の口腔内写真からは悪性、腫瘍（歯肉癌）の癌性、瘍のようにもみえる、いう臨床診断になる可,/Users/saitouryuuichi/Desktop/国試データベース/国家試験過去問/国試画像まとめ/112回/112C74-abc.png
112C74,B,A,1.0,,下頭骨上部に限局した単胞性透過像を認めるが、下顎、下線付近に病変は及んでおらず、下顎骨下部には十分、な健常骨が存在する／能性はありうる、パノラマ写真で単胞性、る限りの病変は骨体、部に限局しており、下顎下緑までは進展、していない,/Users/saitouryuuichi/Desktop/国試データベース/国家試験過去問/国試画像まとめ/112回/112C74-abc.png
112C74,C,A,1.0,,類舌的に脱しており、部分的に皮質骨の非薄化を、伴う／上顎右側小臼歯部類側に睡服を認める（粘膜には異常を認めない）、骨膨隆像ー、骨吸収像、CTで上顎右側小臼歯部に境界明瞭な骨吸収と骨膨隆を／病理組織像は典型的な、エナメル上皮腫とい、うことになる、題される可能性も同様に低い,/Users/saitouryuuichi/Desktop/国試データベース/国家試験過去問/国試画像まとめ/112回/112C74-abc.png
112C77,A,A,0.8,low_medical_signal,集積像、耳下腺、腫瘤,/Users/saitouryuuichi/Desktop/国試データベース/国家試験過去問/国試画像まとめ/112回/112C77-abc.png
112C77,B,A,1.0,,耳下腺腫瘤、脂肪抑制造影T1強調像、脂肪抑制 T2 強調像,/Users/saitouryuuichi/Desktop/国試データベース/国家試験過去問/国試画像まとめ/112回/112C77-abc.png
112C77,C,C,0.35,"too_short,low_medical_signal",腫瘤、血流,/Users/saitouryuuichi/Desktop/国試データベース/国家試験過去問/国試画像まとめ/112回/112C77-abc.png
112C78,A,A,1.0,,境界明瞭な肉芽腫様腫瘤（有茎状？）／、外頭動脈、●内頸動脈、- 外頭静脈、リンパ節と思われ、る腫瘤、・舌骨、胸鎖乳突筋、4内頸静脈、右顎下部に不整形。一部に血流豊富なリンパ節と思われ、る腫瘤がある。同側の胸鎖乳突筋内方、怒張した内経静,/Users/saitouryuuichi/Desktop/国試データベース/国家試験過去問/国試画像まとめ/112回/112C78-ab.png
112C78,B,C,0.35,"too_short,low_medical_signal",める,/Users/saitouryuuichi/Desktop/国試データベース/国家試験過去問/国試画像まとめ/112回/112C78-ab.png
112C78,C,A,1.0,,CT では下顎正中か、ら左側前歯部に辺縁、辺縁不整な吸収像,/Users/saitouryuuichi/Desktop/国試データベース/国家試験過去問/国試画像まとめ/112回/112C78-ab.png
112D65,A,A,1.0,,上顎左側犬歯部歯肉、表面顆粒状の腫脹、に表面顆粒状の腫脹／やや白色で凹凸あり、墝界やや明瞭、上顎左側臼歯部歯肉に境界やや明瞭で、表面はやや白色,/Users/saitouryuuichi/Desktop/国試データベース/国家試験過去問/国試画像まとめ/112回/112D65-b.png
112D65,B,A,1.0,,パノラマエックス、線画像で上額左側、犬歯部周囲の骨に、著明な異常は認め、られない、わずかに骨吸収像がある、（明瞭ではない）／境界不明瞭透過像,/Users/saitouryuuichi/Desktop/国試データベース/国家試験過去問/国試画像まとめ/112回/112D65-b.png
113A53,B,A,1.0,,耳下腺、耳下腺下方に境界明瞭、辺縁整の、類円形の病変がある。造影剤によ、る号変化は認めない,/Users/saitouryuuichi/Desktop/国試データベース/国家試験過去問/国試画像まとめ/113回/113A53-abc.png
113A53,D,A,1.0,,リンパ胞を嚢胞盤に認める、嚢胞壁、T2強調像で高倍号を呈し、内部は液性とわかる,/Users/saitouryuuichi/Desktop/国試データベース/国家試験過去問/国試画像まとめ/113回/113A53-abc.png
113A63,A,A,1.0,,対応を考える。、舌縁部の腫瘤：表面粘膜は／舌下面の表面粘膜は正常、病理像ともに明らかに異なる,/Users/saitouryuuichi/Desktop/国試データベース/国家試験過去問/国試画像まとめ/113回/113A63-ab.png
113A63,B,A,0.8,low_medical_signal,そしい、皮下脂肪、病変、T2 強調像、T1 強調像、脂肪抑制 T1 強調像、病変は、T1およびT2 強調像で皮下脂肪と同程度の高信号域。,/Users/saitouryuuichi/Desktop/国試データベース/国家試験過去問/国試画像まとめ/113回/113A63-ab.png
113A66,A,A,0.8,low_medical_signal,唇額口蓋裂に伴う鼻翼の変形,/Users/saitouryuuichi/Desktop/国試データベース/国家試験過去問/国試画像まとめ/113回/113A66-ab.png
113B50,A,A,1.0,,右側下顎枝部の硬組織様不透過像,/Users/saitouryuuichi/Desktop/国試データベース/国家試験過去問/国試画像まとめ/113回/113B50-ab.png
113B50,B,A,1.0,,病変は下顎枝皮質骨と同程度のCT 値、で、同部から連続性に隆起している,/Users/saitouryuuichi/Desktop/国試データベース/国家試験過去問/国試画像まとめ/113回/113B50-ab.png
113B58,A,A,1.0,,左側上顎洞底部に67根を含む類円形の／明瞭な不透過像,/Users/saitouryuuichi/Desktop/国試データベース/国家試験過去問/国試画像まとめ/113回/113B58-ab.png
113B58,B,A,1.0,,口腔内に異常所見は認められない、失活歯の根を含む嚢胞様透過像／6根周囲の歯槽骨は類側から吸収されて、いる。また。IZ 近心根周囲の歯槽骨も一部、吸収されている、67根を含む、上顎洞に突出する、低濃度域を認め。、その辺縁は硬化線、（挙上された上額、洞底線）が明瞭に、確認できる／根を含む上顎洞に突出する低濃度域を認め、その辺縁,/Users/saitouryuuichi/Desktop/国試データベース/国家試験過去問/国試画像まとめ/113回/113B58-ab.png
113B58,C,A,1.0,,嚢胞壁、嚢胞腔、肉芽組織、線維性結合組織、コレステリン製際、（コレステリン結晶が存在していた部位）、不規則な上皮脚延長を伴った、炎症細胞浸潤が顕著な、非角化平上皮の裏層,/Users/saitouryuuichi/Desktop/国試データベース/国家試験過去問/国試画像まとめ/113回/113B58-ab.png
113B63,A,A,1.0,,下顎左側大臼歯部歯肉の腫脹／たであろう。、8歯冠を含む単胞性、／要がある。,/Users/saitouryuuichi/Desktop/国試データベース/国家試験過去問/国試画像まとめ/113回/113B63-abc.png
113B63,B,A,1.0,,星状細胞が存在、埋伏歯を含む境界明瞭な透過像／嚢胞様透過像、境界明瞭，内部均一、な単胞性病変であり、皮質骨は一部非薄化、している,/Users/saitouryuuichi/Desktop/国試データベース/国家試験過去問/国試画像まとめ/113回/113B63-abc.png
113B63,C,A,1.0,,7】歯冠を含む単胞性、爽胞様透過像,/Users/saitouryuuichi/Desktop/国試データベース/国家試験過去問/国試画像まとめ/113回/113B63-abc.png
113B63,E,A,0.8,low_medical_signal,問質（結合組織）、腫瘍実質の最外層は内、エナメル上皮類似の高、円柱状細胞が存在,/Users/saitouryuuichi/Desktop/国試データベース/国家試験過去問/国試画像まとめ/113回/113B63-abc.png
113C86,B,A,1.0,,透過像内部に枝状の／-908、180、570、760、750、40、病変は下顎下線近くまで進展し、すでに皮質骨が一、部吸収されている,/Users/saitouryuuichi/Desktop/国試データベース/国家試験過去問/国試画像まとめ/113回/113C86-abc.png
113C86,C,A,0.8,low_medical_signal,豊富な粘液基質と、紡錘形細胞が疎に配列してい,/Users/saitouryuuichi/Desktop/国試データベース/国家試験過去問/国試画像まとめ/113回/113C86-abc.png
113C86,E,A,0.8,low_medical_signal,紡錘形・星状の腫瘍細胞が、不規則に配列する,/Users/saitouryuuichi/Desktop/国試データベース/国家試験過去問/国試画像まとめ/113回/113C86-abc.png
113D57,A,A,1.0,,口蓋部の腫落／左側口底部の腫脹,/Users/saitouryuuichi/Desktop/国試データベース/国家試験過去問/国試画像まとめ/113回/113D57-abc.png
113D57,B,A,1.0,,病変は不均一に造影され、皮質骨がやや非薄化している、造影不良域を伴う、造影 CT 横断像、骨表示CT 横断像／舌下腺部の高信号域、腺管状構造と教骨,/Users/saitouryuuichi/Desktop/国試データベース/国家試験過去問/国試画像まとめ/113回/113D57-abc.png
113D57,C,A,0.8,low_medical_signal,腺管状構造、軟晉様領域,/Users/saitouryuuichi/Desktop/国試データベース/国家試験過去問/国試画像まとめ/113回/113D57-abc.png
113D88,A,A,0.8,low_medical_signal,左右両側ともに正常上額、右側上顎洞相当部に境界明、洞構造が確認されない,/Users/saitouryuuichi/Desktop/国試データベース/国家試験過去問/国試画像まとめ/113回/113D88-ab.png
114A56,B,A,0.8,low_medical_signal,健全な被覆粘膜に覆われた暗紫色内容物が透けている、周囲との境界が比較的明瞭なやや低輝度を呈する病変を、認める,/Users/saitouryuuichi/Desktop/国試データベース/国家試験過去問/国試画像まとめ/114回/114A56-ab.png
114A56,C,A,0.8,low_medical_signal,術中写真で確認される青紫色腫瘤,/Users/saitouryuuichi/Desktop/国試データベース/国家試験過去問/国試画像まとめ/114回/114A56-ab.png
114A56,D,A,1.0,,（不均一なのは静脈石の存在が示唆される）、摘出時の病理組織像で確認される、拡張した、血管の増生と控内の赤血球の充満,/Users/saitouryuuichi/Desktop/国試データベース/国家試験過去問/国試画像まとめ/114回/114A56-ab.png
114B81,A,A,1.0,,113回の合否に直結する重要な1間となった。、下顎左側臼歯部歯肉に白斑を伴う,/Users/saitouryuuichi/Desktop/国試データベース/国家試験過去問/国試画像まとめ/114回/114B81-abc.png
114B81,B,A,1.0,,造影CTで転移を疑わせる所見は認められ、ない,/Users/saitouryuuichi/Desktop/国試データベース/国家試験過去問/国試画像まとめ/114回/114B81-abc.png
114B81,C,A,1.0,,12mm／頬舌側皮質骨の破壊、断裂。、なお、造影CTでは明らかなリンバ節転移を、疑わせる辺縁強調像は認められない,/Users/saitouryuuichi/Desktop/国試データベース/国家試験過去問/国試画像まとめ/114回/114B81-abc.png
114B86,A,A,1.0,,軟組織表示 CT 横断像,/Users/saitouryuuichi/Desktop/国試データベース/国家試験過去問/国試画像まとめ/114回/114B86-ab.png
114B86,B,A,1.0,,上顎正中部に円形の単房性、エックス線透過像、骨表示CT 冠状断像、下方では切歯管、上方では鼻腔底をわずかに吸収、上顎正中部に径 25〜30mm、して鼻腔内部に進展している、大の辺縁平滑な病変,/Users/saitouryuuichi/Desktop/国試データベース/国家試験過去問/国試画像まとめ/114回/114B86-ab.png
114C44,A,A,0.8,low_medical_signal,回の合否に直結する1間となった。、病変、病変を栄養する下答動脈,/Users/saitouryuuichi/Desktop/国試データベース/国家試験過去問/国試画像まとめ/114回/114C44-abc.png
114C67,A,A,1.0,,える基本的な出題であり、／である。エックス線写真と組織診断による、歯根に接する境界明瞭な不透過像,/Users/saitouryuuichi/Desktop/国試データベース/国家試験過去問/国試画像まとめ/114回/114C67-abc.png
114C67,B,A,1.0,,腫瘍の骨随内の浸潤と、病変の範囲は下顎骨高径 3/4を大幅に超える、骨表示 CT 横断像、骨表示CT 冠状断像,/Users/saitouryuuichi/Desktop/国試データベース/国家試験過去問/国試画像まとめ/114回/114C67-abc.png
114C72,A,A,0.8,low_medical_signal,臼歯部の骨様膨降。,/Users/saitouryuuichi/Desktop/国試データベース/国家試験過去問/国試画像まとめ/114回/114C72-abc.png
114C72,B,A,1.0,,境界ほぼ明瞭な透過像,/Users/saitouryuuichi/Desktop/国試データベース/国家試験過去問/国試画像まとめ/114回/114C72-abc.png
115A50,A,A,1.0,,境界明瞭な透過像、歯根と連続する不透過像／・下顎前歯部歯肉の膨降。、その表面粘膜は正常であ、る,/Users/saitouryuuichi/Desktop/国試データベース/国家試験過去問/国試画像まとめ/115回/115A50-abc.png
115A50,B,A,0.8,low_medical_signal,境界やや不明ながら下顎前歯部に限局性の、下頭前歯部は舌的に、高隆しており、病変内、部には使組織の形成が,/Users/saitouryuuichi/Desktop/国試データベース/国家試験過去問/国試画像まとめ/115回/115A50-abc.png
115B51,A,A,1.0,,下顎右側臼歯部の腫脹、8を含む、境界明瞭、な単胞性,/Users/saitouryuuichi/Desktop/国試データベース/国家試験過去問/国試画像まとめ/115回/115B51-ab.png
115C37,A,A,1.0,,舌縁部の腫瘤性病変、造影による増強効果が、認められる病変、c、：5mm,/Users/saitouryuuichi/Desktop/国試データベース/国家試験過去問/国試画像まとめ/115回/115C37-ab.png
115C37,D,A,1.0,,脂肪抑制造影T1強調像,/Users/saitouryuuichi/Desktop/国試データベース/国家試験過去問/国試画像まとめ/115回/115C37-ab.png
115C42,A,A,1.0,,する、境界明瞭な腫瘤、上皮欠損、口蓋に境界明瞭な腫を認め、腫の中心部の上皮、が欠損していることから、悪性腫瘍を思わせる／軟硬口蓋移行部に表面平滑な腫識、腺管状構造とその周囲、の筋上皮細胞の増殖,/Users/saitouryuuichi/Desktop/国試データベース/国家試験過去問/国試画像まとめ/115回/115C42-ab.png
115C42,B,A,1.0,,骨に吸収像は認めない、腫藩、造影 CT では腫瘤底部の口蓋の骨に吸収像は認めない／比較的境界明瞭な腫瘤、－粘液師様構造,/Users/saitouryuuichi/Desktop/国試データベース/国家試験過去問/国試画像まとめ/115回/115C42-ab.png
